"d1" "d2" "d3" "d4" "d5" "d6" "d7" "d8" "d9" "d10"
"1" 8 2.86162549818567 4.31835686253717 6.0465585033019 0.432863806315295 0.066062706186917 0.000800683111369472 3.94906042469665 31 3
"2" 2 -10.8414810265743 6.07942876517182 4.88727953989509 0.628440100852844 0.145549921076579 2.74295941930528 3.02831495087594 35 12
"3" 6 -10.9973511124436 18.1654984149603 1.42382845843855 0.424206802569758 0.0954608905233675 23.555270764497 2.82479919772595 29 0
"4" 2 -2.73211250383818 2.13881349646089 2.78078450589436 0.478271621070455 0.233571809878921 0.717102248836921 2.42735925968736 36 5
"5" 6 2.97568614946423 6.80373869920318 3.56085420137832 0.562549228047339 0.18524417713987 1.22686787034991 3.83887919830158 22 20
"6" 3 0.0769894515761065 0.2957388531728 0.642114927630104 0.580162094318897 0.0925523621866593 7.57879521682472 3.99515650002286 26 8
"7" 1 -3.36858011192678 24.3900110663434 7.17894519765339 0.566566305996712 0.273543246424422 0.38537458850713 2.40728407120332 35 12
"8" 5 -4.72132844024158 0.573315097428605 4.52212152977183 0.39869160547918 0.0901192906768267 1.96223369040964 3.06007481412962 28 9
"9" 3 -4.92936205054356 15.2596688935745 12.4673164496378 0.508265692530827 0.174462287135442 1.6123292518841 3.04161738185212 34 24
"10" 5 -13.6650954599053 19.067464322213 15.2336406876141 0.505730360201653 0.316699061184775 3.24499355228265 2.44915114762262 19 21
"11" 1 -1.75223375222635 3.86722689470798 2.34335595491825 0.446345783301503 0.0967368816166423 5.03883076438003 3.49984185490757 25 2
"12" 4 -0.932253309304464 0.953254867618322 1.27666439109007 0.38901100604373 0.0864436599556289 4.00407717458136 3.55920487781987 29 5
"13" 5 -1.50296743451214 0.952139692139057 10.5087308667838 0.396326711522184 0.084507638230994 8.43516743950978 3.72338542714715 29 0
"14" 4 1.26784829672893 7.59448797029266 1.80743896964039 0.519985574722792 0.0448778288907339 3.09380890224701 2.40321045741439 30 0
"15" 7 -9.96791824956708 1.62516953233487 0.994934777108364 0.45283472683918 0.0823224852171743 0.683275825913133 3.48696355009452 32 14
"16" 6 -4.45147844695149 9.87331576077161 6.59804934854768 0.520966428964819 0.208054631728051 1.61598471242986 3.80719061475247 21 0
"17" 5 3.62530605179273 1.32316604330125 5.09640458467519 0.46399683236123 0.106818977059641 0.488153332941565 3.50790791865438 36 1
"18" 8 -0.162559661303037 1.94114893290268 6.5590541564996 0.323560706605717 0.130035069513121 29.951294569827 2.06050363648683 31 8
"19" 2 -3.46371087484679 11.0467437381677 1.93033986233105 0.391363535094803 0.0977585771274826 3.03857226579623 2.63368248846382 32 12
"20" 2 -4.57241901210327 5.70805963113588 3.19177737878913 0.504168635707786 0.186042099487384 3.24776943546133 2.68891527643427 27 7
"21" 6 -7.89795080400653 3.63245834688465 4.54563640524298 0.504256537834947 0.177270023920143 2.47934347254458 3.21221531601623 26 13
"22" 9 -2.6213951382291 1.92715957572347 4.30521069675257 0.586616333783852 0.383169106505643 0.680819439376864 3.80500673362985 31 1
"23" 11 -1.79932948983429 2.3927942630046 2.13562421183025 0.459088006805746 0.0887779373427154 2.46056505676089 3.5600884440355 32 0
"24" 3 -13.7659807246421 0.602588406616606 2.50483361803561 0.451040349794345 0.119690459770446 1.38649344808143 2.14850243646652 26 7
"25" 5 -14.3272435473457 8.32154843697013 2.12652084900214 0.292611627804974 0.176438888862283 3.3482177900269 3.13294839393348 34 22
"26" 7 -3.7016061771855 2.10921622148993 10.9678425565208 0.39184400081992 0.344698226287944 8.74864843607955 3.17810576036572 20 3
"27" 9 -10.5934732058588 1.23698863799804 1.03010604617777 0.684374894473777 0.214411347962184 3.68394070153896 3.40588027844205 28 11
"28" 9 2.26534915103053 1.50527591669752 1.39015914468058 0.538810485987107 0.110594567131953 6.80500473621654 2.99562531895936 35 12
"29" 3 -2.46310224856496 7.40213676704292 0.729331341316137 0.659083599285433 0.162788484108004 22.6924498809482 2.38535116845742 29 18
"30" 8 -8.52520566084774 1.11846643474539 0.874460990372771 0.508602519360333 0.199891940352912 0.222050717057348 3.50179400155321 24 0
"31" 5 -4.68930373208663 1.03608694407269 0.236874050344909 0.52281653629686 0.40581206088475 3.12409993341164 3.83766594622284 33 12
"32" 9 -10.5738397574307 3.1612723503333 0.0573870182779501 0.562258409225512 0.199287574714873 8.96266409021981 3.53649934753776 30 5
