"x"
"1" 50
"2" 51
"3" 51
"4" 52
"5" 52
"6" 53
"7" 54
"8" 55
"9" 55
"10" 55
"11" 55
"12" 56
"13" 56
"14" 56
"15" 57
"16" 57
"17" 57
"18" 57
"19" 58
"20" 59
"21" 59
"22" 59
"23" 59
"24" 59
"25" 59
"26" 59
"27" 60
"28" 60
"29" 60
"30" 61
"31" 61
"32" 61
"33" 61
"34" 62
"35" 62
"36" 62
"37" 63
"38" 63
"39" 63
"40" 63
"41" 63
"42" 64
"43" 64
"44" 64
"45" 64
"46" 64
"47" 65
"48" 65
"49" 65
"50" 65
"51" 65
"52" 65
"53" 65
"54" 66
"55" 66
"56" 66
"57" 66
"58" 66
"59" 66
"60" 67
"61" 67
"62" 67
"63" 67
"64" 68
"65" 68
"66" 68
"67" 68
"68" 68
"69" 68
"70" 68
"71" 68
"72" 69
"73" 69
"74" 69
"75" 69
"76" 69
"77" 70
"78" 70
"79" 70
"80" 70
"81" 71
"82" 71
"83" 71
"84" 72
"85" 72
"86" 72
"87" 73
"88" 73
"89" 73
"90" 74
"91" 75
"92" 75
"93" 75
"94" 76
"95" 77
"96" 79
"97" 79
"98" 80
"99" 80
"100" 100
