1	1648.163
2	1648.163
3	1635.779
4	1638.938
5	1638.938
6	1643.523
7	1643.523
8	1663.222
9	1663.222
10	1663.222
11	1657.672
12	1657.230
13	1662.372
14	1662.370
15	1663.222
16	1657.672
17	1663.222
18	1663.222
19	1657.230
20	1662.372
21	1662.370
22	1673.951
23	1669.220
24	1673.951
25	1673.951
26	1673.951
27	1670.983
28	1670.239
29	1673.951
30	1669.220
31	1673.951
32	1670.983
33	1673.951
34	1673.951
35	1670.239
36	1648.744
37	1648.744
38	1636.152
39	1638.454
40	1643.523
41	1643.523
42	1638.454
43	1660.265
44	1660.265
45	1660.265
46	1653.998
47	1659.708
48	1659.708
49	1655.547
50	1673.951
51	1673.951
52	1673.951
53	1673.951
54	1669.220
55	1670.983
56	1670.239
57	1673.951
58	1673.951
59	1669.220
60	1673.951
61	1673.951
62	1670.983
63	1670.239
64	1660.265
65	1653.998
66	1659.708
67	1659.708
68	1660.265
69	1660.265
70	1655.547
71	1649.393
72	1649.393
73	1638.280
74	1643.523
75	1643.487
76	1643.486
77	1643.486
78	1671.534
79	1671.534
80	1671.535
81	1668.132
82	1658.495
83	1658.495
84	1658.495
85	1671.534
86	1668.132
87	1671.534
88	1671.534
89	1658.495
90	1658.495
91	1658.495
92	1673.951
93	1670.983
94	1673.951
95	1673.951
96	1673.951
97	1669.220
98	1670.238
99	1673.951
100	1670.983
101	1673.951
102	1669.220
103	1673.951
104	1673.951
105	1670.238
